1	604.69 	397.78 	428.71 	429.75 	348.71 	366.75 	398.52 	418.20 	-358.85 	515.34 	-267.75 	-10.26 	12.33 	182.47 
2	606.96 	506.05 	422.69 	520.70 	342.69 	457.70 	391.64 	521.92 	-358.85 	525.34 	-267.75 	-10.26 	22.33 	182.47 
3	607.53 	616.62 	417.16 	613.97 	337.16 	550.97 	385.33 	628.28 	-358.85 	535.34 	-267.75 	-10.26 	32.33 	182.47 
4	494.10 	397.87 	340.77 	427.11 	260.77 	364.11 	298.02 	415.20 	-368.85 	515.34 	-267.75 	-20.26 	12.33 	182.47 
5	495.29 	506.92 	334.55 	517.19 	254.55 	454.19 	290.92 	517.92 	-368.85 	525.34 	-267.75 	-20.26 	22.33 	182.47 
6	495.83 	616.66 	328.68 	607.62 	248.68 	544.62 	284.20 	621.04 	-368.85 	535.34 	-267.75 	-20.26 	32.33 	182.47 
7	383.27 	396.09 	256.22 	423.15 	176.22 	360.15 	201.39 	410.68 	-378.85 	515.34 	-267.75 	-30.26 	12.33 	182.47 
8	383.90 	506.42 	249.94 	512.62 	169.94 	449.62 	194.21 	512.71 	-378.85 	525.34 	-267.75 	-30.26 	22.33 	182.47 
9	384.45 	617.89 	243.65 	602.64 	163.65 	539.64 	187.03 	615.36 	-378.85 	535.34 	-267.75 	-30.26 	32.33 	182.47 
10	592.64 	406.67 	457.00 	438.60 	377.00 	375.60 	430.85 	428.31 	-358.85 	515.34 	-257.75 	-10.26 	12.33 	192.47 
11	594.18 	509.90 	451.54 	525.78 	371.54 	462.78 	424.62 	527.72 	-358.85 	525.34 	-257.75 	-10.26 	22.33 	192.47 
12	594.98 	612.89 	446.23 	612.92 	366.23 	549.92 	418.55 	627.08 	-358.85 	535.34 	-257.75 	-10.26 	32.33 	192.47 
13	488.28 	406.41 	373.05 	435.62 	293.05 	372.62 	334.91 	424.90 	-368.85 	515.34 	-257.75 	-20.26 	12.33 	192.47 
14	488.94 	510.71 	367.66 	522.30 	287.66 	459.30 	328.75 	523.74 	-368.85 	525.34 	-257.75 	-20.26 	22.33 	192.47 
15	489.77 	614.83 	362.18 	608.46 	282.18 	545.46 	322.49 	621.99 	-368.85 	535.34 	-257.75 	-20.26 	32.33 	192.47 
16	384.12 	406.10 	292.55 	432.95 	212.55 	369.95 	242.91 	421.86 	-378.85 	515.34 	-257.75 	-30.26 	12.33 	192.47 
17	384.34 	511.35 	287.03 	518.86 	207.03 	455.86 	236.61 	519.82 	-378.85 	525.34 	-257.75 	-30.26 	22.33 	192.47 
18	384.88 	616.61 	281.51 	604.40 	201.51 	541.40 	230.29 	617.36 	-378.85 	535.34 	-257.75 	-30.26 	32.33 	192.47 
19	581.85 	415.61 	482.13 	447.38 	402.13 	384.38 	459.58 	438.32 	-358.85 	515.34 	-247.75 	-10.26 	12.33 	202.47 
20	583.10 	513.12 	476.93 	530.01 	396.93 	467.01 	453.64 	532.53 	-358.85 	525.34 	-247.75 	-10.26 	22.33 	202.47 
21	583.61 	611.41 	472.06 	613.47 	392.06 	550.47 	448.07 	627.71 	-358.85 	535.34 	-247.75 	-10.26 	32.33 	202.47 
22	483.12 	415.96 	402.30 	444.94 	322.30 	381.94 	368.34 	435.53 	-368.85 	515.34 	-247.75 	-20.26 	12.33 	202.47 
23	483.84 	513.90 	397.11 	526.64 	317.11 	463.64 	362.41 	528.69 	-368.85 	525.34 	-247.75 	-20.26 	22.33 	202.47 
24	484.33 	613.10 	392.10 	609.10 	312.10 	546.10 	356.68 	622.73 	-368.85 	535.34 	-247.75 	-20.26 	32.33 	202.47 
25	384.60 	416.47 	325.65 	442.93 	245.65 	379.93 	280.74 	433.24 	-378.85 	515.34 	-247.75 	-30.26 	12.33 	202.47 
26	385.08 	514.44 	320.25 	523.18 	240.25 	460.18 	274.57 	524.75 	-378.85 	525.34 	-247.75 	-30.26 	22.33 	202.47 
27	385.41 	613.96 	315.03 	604.52 	235.03 	541.52 	268.60 	617.50 	-378.85 	535.34 	-247.75 	-30.26 	32.33 	202.47 
				ratio	1.1428571429	1.140311804		offset	-348.59	503.01	-450.22			
